Streaming output truncated to the last 5000 lines.
episode 818 frame 448957 score 1400.0 curiosity 0.5981379724547842
episode 819 frame 449780 score 1000.0 curiosity 0.4703928970384955
episode 820 frame 450817 score 1800.0 curiosity 0.37624047037043856
episode 821 frame 451919 score 2000.0 curiosity 0.5197018191376164
episode 822 frame 452539 score 400.0 curiosity 0.6363034156972034
episode 823 frame 453341 score 1200.0 curiosity 0.8379932240869827
episode 824 frame 454009 score 600.0 curiosity 0.3727429106529048
episode 825 frame 454589 score 600.0 curiosity 0.32355332478352133
episode 826 frame 455286 score 400.0 curiosity 0.5325210653262631
episode 827 frame 456158 score 1200.0 curiosity 0.6904663922581362
episode 828 frame 456832 score 600.0 curiosity 0.7081686797630401
episode 829 frame 457594 score 800.0 curiosity 0.6733272147222119
episode 830 frame 458373 score 1200.0 curiosity 0.5245308300644894
episode 831 frame 459223 score 1200.0 curiosity 0.9593562493294383
episode 832 frame 459805 score 400.0 curiosity 0.36695207060359375
episode 833 frame 460578 score 1200.0 curiosity 0.5588304752137154
episode 834 frame 461218 score 800.0 curiosity 0.37077802212672023
episode 835 frame 461971 score 1200.0 curiosity 0.4115577756148878
episode 836 frame 462859 score 1400.0 curiosity 1.0098294328699136
episode 837 frame 463813 score 2000.0 curiosity 0.5336127017112513
episode 838 frame 464579 score 800.0 curiosity 0.4730035330469234
episode 839 frame 465191 score 400.0 curiosity 0.368503753830465
episode 840 frame 465943 score 800.0 curiosity 0.3939884141919702
episode 841 frame 466627 score 600.0 curiosity 0.5118131858285058
episode 842 frame 467412 score 1000.0 curiosity 0.22774722130899414
episode 843 frame 468238 score 1000.0 curiosity 0.24580919728078998
episode 844 frame 468875 score 600.0 curiosity 0.49136238509764896
episode 845 frame 469747 score 1400.0 curiosity 0.5679311863109558
episode 846 frame 470500 score 800.0 curiosity 0.3335200601635885
episode 847 frame 471240 score 1000.0 curiosity 0.5614801869864474
episode 848 frame 472053 score 1000.0 curiosity 0.3630259894514827
episode 849 frame 472841 score 800.0 curiosity 0.44437584933919994
episode 850 frame 473905 score 1800.0 curiosity 0.5768853627698969
episode 851 frame 474467 score 200.0 curiosity 0.2700707166063371
episode 852 frame 475370 score 1400.0 curiosity 0.566394767874966
episode 853 frame 475978 score 400.0 curiosity 0.7228848267123086
episode 854 frame 476715 score 1000.0 curiosity 0.3403861331301101
episode 855 frame 477372 score 1000.0 curiosity 0.7929226705407395
episode 856 frame 477984 score 200.0 curiosity 0.5639735644292339
episode 857 frame 478808 score 1200.0 curiosity 0.7733999572960535
episode 858 frame 479870 score 2000.0 curiosity 0.34567713324440086
episode 859 frame 480819 score 1400.0 curiosity 0.3173616456816315
episode 860 frame 481941 score 1800.0 curiosity 0.5789896287609266
episode 861 frame 482863 score 1400.0 curiosity 0.34462541623925635
episode 862 frame 483785 score 1600.0 curiosity 0.4159348791066233
episode 863 frame 485011 score 2600.0 curiosity 0.9647752802524521
episode 864 frame 485998 score 1600.0 curiosity 0.6263450924510765
episode 865 frame 486720 score 800.0 curiosity 0.3474375509218588
episode 866 frame 488092 score 3000.0 curiosity 0.6035538614447409
episode 867 frame 488878 score 1000.0 curiosity 0.7248796324153953
episode 868 frame 489873 score 1400.0 curiosity 0.37765966693662373
episode 869 frame 490624 score 1000.0 curiosity 0.461725680353263
episode 870 frame 491474 score 1000.0 curiosity 0.4743822787670111
episode 871 frame 492345 score 1400.0 curiosity 0.26006648689834505
episode 872 frame 493122 score 1200.0 curiosity 0.44821849233699573
episode 873 frame 493919 score 1200.0 curiosity 0.8335146241302362
episode 874 frame 494940 score 2000.0 curiosity 0.4468158343602219
episode 875 frame 495835 score 1600.0 curiosity 0.22546973925502553
episode 876 frame 496497 score 800.0 curiosity 0.7447900764552944
