Streaming output truncated to the last 5000 lines.
episode 1013 frame 497891 score 200.0 curiosity 0.31405187540804036
episode 1014 frame 498429 score 0.0 curiosity 0.0011635746632236987
episode 1015 frame 498866 score 400.0 curiosity 0.33984872698783875
episode 1016 frame 499330 score 0.0 curiosity 0.11580735445022583
episode 1017 frame 499752 score 400.0 curiosity 0.11578419804573059
episode 1018 frame 500235 score 200.0 curiosity 0.23651926219463348
episode 1019 frame 500826 score 0.0 curiosity 0.15137037041131407
episode 1020 frame 501481 score 400.0 curiosity 0.15862125367857516
episode 1021 frame 502116 score 800.0 curiosity 0.2927427515387535
episode 1022 frame 502668 score 200.0 curiosity 0.33401908352971077
episode 1023 frame 503382 score 200.0 curiosity 0.13128989996039309
episode 1024 frame 504016 score 400.0 curiosity 0.11234360374510288
episode 1025 frame 504567 score 400.0 curiosity 0.3557592034339905
episode 1026 frame 505038 score 400.0 curiosity 0.3620224595069885
episode 1027 frame 505656 score 800.0 curiosity 0.3596215918660164
episode 1028 frame 506270 score 200.0 curiosity 0.3878389075398445
episode 1029 frame 506722 score 0.0 curiosity 0.12409773468971252
episode 1030 frame 507169 score 200.0 curiosity 0.2334962785243988
episode 1031 frame 507859 score 200.0 curiosity 0.40342144668102264
episode 1032 frame 508498 score 600.0 curiosity 0.300749234855175
episode 1033 frame 508984 score 0.0 curiosity 0.0031616831838618964
episode 1034 frame 509316 score 0.0 curiosity 0.0
episode 1035 frame 509748 score 400.0 curiosity 0.26113319396972656
episode 1036 frame 510381 score 400.0 curiosity 0.25471288710832596
episode 1037 frame 511008 score 200.0 curiosity 0.1623123250901699
episode 1038 frame 511406 score 0.0 curiosity 0.0013023113133385777
episode 1039 frame 512061 score 600.0 curiosity 0.365677610039711
episode 1040 frame 512552 score 400.0 curiosity 0.10269609838724136
episode 1041 frame 513086 score 200.0 curiosity 0.04720099759288132
episode 1042 frame 513605 score 0.0 curiosity 0.04390064999461174
episode 1043 frame 514076 score 200.0 curiosity 0.2821683697402477
episode 1044 frame 514586 score 0.0 curiosity 0.3011723458766937
episode 1045 frame 515179 score 0.0 curiosity 0.058826373890042305
episode 1046 frame 515688 score 0.0 curiosity 0.23995935916900635
episode 1047 frame 516256 score 200.0 curiosity 0.1153972817119211
episode 1048 frame 516649 score 200.0 curiosity 0.0
episode 1049 frame 516989 score 200.0 curiosity 0.0043380833230912685
episode 1050 frame 517554 score 0.0 curiosity 0.1599104069173336
episode 1051 frame 518063 score 200.0 curiosity 0.14728376269340515
episode 1052 frame 518867 score 1000.0 curiosity 0.9914354830980301
episode 1053 frame 519508 score 400.0 curiosity 0.17623403208563104
episode 1054 frame 519915 score 400.0 curiosity 0.27033454179763794
episode 1055 frame 520375 score 0.0 curiosity 0.0019503076327964664
episode 1056 frame 520929 score 600.0 curiosity 0.37916383147239685
episode 1057 frame 521452 score 400.0 curiosity 0.35980556160211563
