Streaming output truncated to the last 5000 lines.
episode 1642 frame 835301 score 1400.0 curiosity 0.3523550641257316
episode 1643 frame 836141 score 1000.0 curiosity 0.3870432674884796
episode 1644 frame 836755 score 400.0 curiosity 0.32012737542390823
episode 1645 frame 837509 score 600.0 curiosity 0.2729775309562683
episode 1646 frame 838347 score 1000.0 curiosity 0.37157927453517914
episode 1647 frame 839000 score 600.0 curiosity 0.2518724463880062
episode 1648 frame 839723 score 1400.0 curiosity 0.38250360637903214
episode 1649 frame 840344 score 400.0 curiosity 0.17029858194291592
episode 1650 frame 841063 score 600.0 curiosity 0.4126353785395622
episode 1651 frame 841537 score 0.0 curiosity 0.08149745129048824
episode 1652 frame 842190 score 200.0 curiosity 0.49256033822894096
episode 1653 frame 842873 score 400.0 curiosity 0.3313511721789837
episode 1654 frame 843489 score 600.0 curiosity 0.18136192194651812
episode 1655 frame 844232 score 400.0 curiosity 0.26257905550301075
episode 1656 frame 844859 score 400.0 curiosity 0.4765302538871765
episode 1657 frame 845480 score 400.0 curiosity 0.35129643976688385
episode 1658 frame 846315 score 1400.0 curiosity 0.3477274030447006
episode 1659 frame 847086 score 800.0 curiosity 0.4433952122926712
episode 1660 frame 847903 score 1200.0 curiosity 0.298879262059927
episode 1661 frame 848519 score 1000.0 curiosity 0.23078351467847824
episode 1662 frame 849279 score 800.0 curiosity 0.28480615839362144
episode 1663 frame 849752 score 400.0 curiosity 0.2146800011396408
episode 1664 frame 850498 score 1000.0 curiosity 0.4470430240035057
episode 1665 frame 851072 score 400.0 curiosity 0.1557023972272873
episode 1666 frame 851810 score 800.0 curiosity 0.23392463475465775
episode 1667 frame 852807 score 2000.0 curiosity 0.6643615663051605
episode 1668 frame 853485 score 200.0 curiosity 0.3492048382759094
episode 1669 frame 854056 score 400.0 curiosity 0.2166147604584694
episode 1670 frame 854659 score 200.0 curiosity 0.3130568563938141
episode 1671 frame 855521 score 1000.0 curiosity 0.41403481364250183
episode 1672 frame 856159 score 600.0 curiosity 0.2710816562175751
episode 1673 frame 856707 score 400.0 curiosity 0.2059718333184719
episode 1674 frame 857504 score 1400.0 curiosity 0.4923834800720215
episode 1675 frame 858239 score 1200.0 curiosity 0.2566302428022027
episode 1676 frame 859017 score 1000.0 curiosity 0.38818299025297165
episode 1677 frame 859700 score 600.0 curiosity 0.3670283183455467
episode 1678 frame 860315 score 600.0 curiosity 0.20305675640702248
episode 1679 frame 860914 score 200.0 curiosity 0.2723013274371624
episode 1680 frame 861782 score 1000.0 curiosity 0.3268781676888466
episode 1681 frame 862529 score 400.0 curiosity 0.21648076176643372
episode 1682 frame 863268 score 600.0 curiosity 0.47683535516262054
episode 1683 frame 864098 score 1200.0 curiosity 0.44363462924957275
episode 1684 frame 865142 score 1800.0 curiosity 0.41125166416168213
episode 1685 frame 865759 score 200.0 curiosity 0.2214815840125084
episode 1686 frame 866484 score 600.0 curiosity 0.17305853590369225
episode 1687 frame 867208 score 800.0 curiosity 0.31248025223612785
episode 1688 frame 867802 score 200.0 curiosity 0.36269282922148705
